duration_ms_x,popularity,track_number,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_class
119634,39,1,0.349,0.823,0.57,0.0225,6,0.601,-7.957000000000002,0,0.112,81.98200000000001,0.951,0
252780,47,1,0.0326,0.517,0.862,0.00193,3,0.245,-4.629,1,0.0376,125.05,0.677,0
205889,59,1,0.609,0.4320000000000001,0.4970000000000001,0.000112,8,0.13699999999999998,-8.433,1,0.138,124.526,0.24,1
245840,68,1,0.7290000000000001,0.364,0.261,0.0273,7,0.125,-11.645,1,0.029,140.71200000000002,0.34700000000000003,1
214466,45,1,0.269,0.66,0.529,1.36E-05,7,0.0868,-7.523,1,0.0293,94.013,0.705,0
199290,14,1,0.613,0.496,0.782,0.813,5,0.116,-8.068,1,0.0358,181.067,0.765,0
225913,46,1,0.145,0.779,0.425,0.0597,9,0.122,-11.607,1,0.0357,115.034,0.386,0
248344,50,6,0.043,0.657,0.6659999999999999,0.544,0,0.134,-9.525,1,0.0321,73.502,0.943,0
211266,48,1,0.329,0.685,0.436,0.174,9,0.105,-11.808,0,0.0527,104.97,0.328,0
328621,52,1,0.679,0.653,0.225,0.0327,2,0.106,-16.195999999999998,0,0.0316,90.779,0.344,0
293056,56,1,0.857,0.282,0.232,0.0309,2,0.0845,-12.324000000000002,1,0.0298,94.839,0.0577,1
265786,51,1,0.7929999999999999,0.264,0.333,0.0978,6,0.096,-11.443,1,0.0348,143.09,0.068,0
213497,45,3,0.936,0.416,0.452,0.514,5,0.257,-11.233,0,0.0589,73.605,0.247,0
181915,42,1,0.624,0.339,0.376,0.0171,6,0.104,-8.617,1,0.0347,115.195,0.165,0
223345,58,3,0.716,0.928,0.398,0.807,9,0.108,-10.995,1,0.0402,108.399,0.502,1
